epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1064.68,1.93163,2.10207,1.88518,0.57695,0.29894,0.33682,0.19947,1.31236,0.97346,1.60397,0.000368033,0.000368033,0.000368033
2,3266.75,1.48569,1.02741,1.68122,0.43436,0.42758,0.42644,0.2563,1.25119,0.80434,1.53141,0.000714,0.000714,0.000714
3,11736.5,1.39794,0.9046,1.64935,0.47105,0.43642,0.43674,0.28029,1.15069,0.73211,1.52238,0.00103553,0.00103553,0.00103553
4,13815.1,1.34896,0.8465,1.63427,0.53419,0.44511,0.49538,0.31195,1.18603,0.69622,1.51895,0.00100101,0.00100101,0.00100101
5,15507.2,1.33343,0.80134,1.6246,0.5933,0.47076,0.50602,0.32668,1.12638,0.67199,1.48731,0.000964348,0.000964348,0.000964348
6,17571.1,1.29042,0.76805,1.60481,0.59015,0.44659,0.51709,0.33839,1.09251,0.63933,1.50601,0.000927685,0.000927685,0.000927685
7,19451.3,1.28197,0.75958,1.61101,0.54616,0.48504,0.53382,0.34967,1.1005,0.62557,1.48996,0.000891022,0.000891022,0.000891022
8,20894.1,1.26897,0.7432,1.59858,0.60581,0.46071,0.54096,0.35978,1.07584,0.61033,1.49467,0.000854359,0.000854359,0.000854359
9,22002.8,1.24578,0.72614,1.60727,0.5579,0.49852,0.55048,0.36416,1.0694,0.60623,1.4781,0.000817696,0.000817696,0.000817696
10,39960.9,1.24069,0.71524,1.59871,0.64379,0.47839,0.55402,0.36521,1.07769,0.61596,1.49701,0.000781033,0.000781033,0.000781033
11,42168.5,1.22353,0.69862,1.5945,0.62438,0.48404,0.55433,0.37002,1.0862,0.59863,1.47022,0.00074437,0.00074437,0.00074437
12,43634.5,1.22869,0.69832,1.58921,0.58943,0.49655,0.5532,0.37289,1.04938,0.60461,1.50536,0.000707707,0.000707707,0.000707707
13,44738.7,1.2035,0.68038,1.59413,0.64527,0.49441,0.56876,0.38606,1.02641,0.5708,1.49026,0.000671044,0.000671044,0.000671044
14,45822.1,1.19651,0.67464,1.59482,0.6289,0.49955,0.56497,0.3796,1.06186,0.57854,1.46184,0.000634381,0.000634381,0.000634381
15,47592.4,1.19347,0.67289,1.58309,0.60754,0.51132,0.56679,0.3843,1.01562,0.56038,1.48374,0.000597718,0.000597718,0.000597718
16,49766.3,1.19239,0.67288,1.58054,0.62267,0.50715,0.57462,0.38659,1.04926,0.57651,1.47728,0.000561055,0.000561055,0.000561055
17,58421,1.19509,0.66847,1.57974,0.58735,0.52499,0.56445,0.38526,1.02907,0.57883,1.47204,0.000524392,0.000524392,0.000524392
18,60132.6,1.17554,0.65485,1.57844,0.5857,0.5388,0.58358,0.39971,1.01897,0.55498,1.48118,0.000487729,0.000487729,0.000487729
19,61147.3,1.15922,0.65068,1.57088,0.5857,0.51023,0.56991,0.38594,1.01046,0.56038,1.47981,0.000451066,0.000451066,0.000451066
20,62209.6,1.15938,0.64399,1.56329,0.61637,0.50845,0.58367,0.39534,1.02303,0.54823,1.46131,0.000414403,0.000414403,0.000414403
21,63313.7,1.12978,0.61613,1.58972,0.66662,0.49044,0.57558,0.39211,1.02631,0.56255,1.47519,0.00037774,0.00037774,0.00037774
22,64424.1,1.1198,0.60746,1.59334,0.62145,0.50638,0.57889,0.39946,1.00901,0.55269,1.4718,0.000341077,0.000341077,0.000341077
23,65551.7,1.10892,0.60401,1.60028,0.62396,0.51212,0.58106,0.39862,1.0104,0.55248,1.4798,0.000304414,0.000304414,0.000304414
24,66524.7,1.10843,0.60272,1.5907,0.5906,0.52493,0.5824,0.40329,0.99633,0.54434,1.47623,0.000267751,0.000267751,0.000267751
25,67634.7,1.10103,0.59344,1.58556,0.64746,0.49825,0.58578,0.40386,1.00269,0.53785,1.46064,0.000231088,0.000231088,0.000231088
26,68535.2,1.08351,0.58804,1.58195,0.59503,0.52041,0.58448,0.40374,0.9958,0.53817,1.45851,0.000194425,0.000194425,0.000194425
27,69517.3,1.07903,0.58386,1.5777,0.6423,0.50106,0.58789,0.40621,0.99888,0.53786,1.46567,0.000157762,0.000157762,0.000157762
28,70548.9,1.07916,0.58352,1.56347,0.58483,0.53587,0.59143,0.41132,0.98477,0.53429,1.4705,0.000121099,0.000121099,0.000121099
29,71583.4,1.07831,0.58051,1.57466,0.60309,0.52426,0.59214,0.41193,0.98682,0.52949,1.45961,8.4436e-05,8.4436e-05,8.4436e-05
30,72785.5,1.07052,0.57908,1.55631,0.64466,0.49184,0.58907,0.40758,0.98563,0.52899,1.46065,4.7773e-05,4.7773e-05,4.7773e-05
