epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4752,2.40301,4.14995,2.26396,0,0,0,0,2.17341,4.10744,1.92029,6.666e-05,6.666e-05,6.666e-05
2,46.3785,2.34553,3.92576,2.14922,0.05346,0.07877,0.02916,0.0087,2.04101,3.79332,1.77865,0.000130131,0.000130131,0.000130131
3,67.6614,2.19627,3.73846,2.24585,0.0643,0.32282,0.06723,0.02745,1.94223,3.44483,1.7641,0.000178204,0.000178204,0.000178204
4,87.8211,2.17369,3.47032,1.98827,0.05591,0.3379,0.0775,0.03323,1.91723,3.27186,1.76308,0.000210879,0.000210879,0.000210879
5,107.786,2.10801,3.22032,1.98351,0.33229,0.1617,0.08803,0.0438,1.88113,2.90392,1.76889,0.000228155,0.000228155,0.000228155
6,128.337,2.13097,3.05411,1.89706,0.31616,0.20536,0.11423,0.05284,1.87066,2.71559,1.81443,0.000230033,0.000230033,0.000230033
7,150.067,2.05865,2.88766,1.84437,0.31616,0.20536,0.11423,0.05284,1.87066,2.71559,1.81443,0.000216512,0.000216512,0.000216512
8,175.511,2.07384,2.687,1.82254,0.33442,0.20893,0.14342,0.06184,1.86142,2.60679,1.82869,0.000187592,0.000187592,0.000187592
9,198.808,2.0481,2.61327,1.77914,0.62912,0.27143,0.18104,0.08163,1.84775,2.48668,1.8493,0.000143275,0.000143275,0.000143275
10,220.533,2.03301,2.64769,1.86012,0.62912,0.27143,0.18104,0.08163,1.84775,2.48668,1.8493,8.35583e-05,8.35583e-05,8.35583e-05
